asset,number_of_observations,mean_abnormal_return_1d,median_abnormal_return_1d,mean_absolute_abnormal_return_1d,standard_deviation_1d,positive_reaction_rate,mean_abnormal_return_3d,mean_abnormal_return_5d,mean_volatility_change
Natural Gas,40,-0.0005946026094878654,0.005473943610475207,0.03737484392034253,0.04637407062739719,0.525,-0.004884371160483297,-0.002706102148501863,-0.12162134546375318
WTI Crude,40,-0.0018503734527150011,0.0009817276334212477,0.024790919084455534,0.03617139325644212,0.525,0.004036871754402644,-0.057947875084258346,0.5182330219339406
Brent Crude,40,-0.003578808507462933,0.0005091253370009818,0.02369394833845978,0.0330299439058628,0.525,-0.0015691880735085872,0.00017212463889753338,-0.02114537577295853
Oil Services ETF,40,-0.003041628766052057,-0.003866545235254093,0.017839395722770934,0.02214192411235472,0.45,-0.006328800270004903,0.002314332398283761,-0.0022407874574834215
Shell,40,-0.0030738842154547003,-0.00294710534665793,0.014464437079887708,0.019185933446749306,0.4,-0.008130494440762637,-0.007522803855165525,0.0003570867483072337
TotalEnergies,40,-0.0035339070490577273,-0.0012660237189555668,0.013373408809783166,0.018555206031762958,0.45,-0.011725002292811959,-0.00679200686553314,0.03263906874734614
BP,40,-0.002873644989439164,-0.004010891095734659,0.012633876819284188,0.016442725321151194,0.425,-0.009922913202309026,-0.007176562410777141,-0.013026818971918963
ExxonMobil,40,0.0004913687332427002,-0.0016637312073874422,0.012354612635108717,0.01681655347248791,0.475,-0.0007995159836683724,0.004685519379830269,-0.00948754841210869
Airlines ETF,40,-0.0024021751127514647,-0.0009462995456928636,0.012056405495431206,0.01900478177266244,0.45,-0.004447906793521425,-0.0075015440948099504,0.026395685688108673
Energy ETF,40,-0.000577039400588436,-0.0005927967226784792,0.011752021895461812,0.015520300002614219,0.45,-0.002127938759310366,0.0028570001881942945,-0.00253752144221145
Chevron,40,0.0012211095069511874,0.0023695069649651845,0.010560154781806866,0.014038265304733899,0.575,0.00013839715637481155,0.0036130555293283186,-0.004065006194437127
Utilities ETF,40,-0.001249725259902751,-0.0014281384801606567,0.008379414224283278,0.011574587070767452,0.425,-0.00525050198608755,-0.00419929952561236,0.03720970431011777
