relative_day,average_abnormal_return,median_abnormal_return,standard_deviation,number_of_events
-5,0.019926121952673664,0.02109878451218572,0.07305300709753354,9
-4,0.007806281241896455,-0.005723334055701579,0.06071874451285855,9
-3,-0.0007324818038343642,-0.005142515505733636,0.05535062904357826,9
-2,-0.0003279525755775688,-0.0029388383016789588,0.04962034251959848,9
-1,-0.00614599284880013,-0.005693629361615549,0.040733294883905924,9
0,0.0,0.0,0.0,9
1,-0.0077132315013989095,0.0037386512557383567,0.04417986223685213,9
2,-0.007194870588216588,-0.0018737426768604681,0.06447980055222201,9
3,0.00441969676598956,0.0065199871154090205,0.07316042450005018,9
4,0.008465885851193258,0.004313729790988541,0.1028692983634384,9
5,0.01353274763538401,0.025529813499552523,0.13416116610993012,9
