category,asset,number_of_events,mean_abnormal_return_1d,mean_abnormal_return_3d,mean_abnormal_return_5d,reaction_strengthened_by_day_5,reaction_reversed_by_day_5
Demand shock,Natural Gas,2,0.05495142233022687,0.11424014494858031,0.04350103096127961,False,False
Demand shock,Airlines ETF,2,-0.04145436026386179,-0.0284923748857408,-0.12999190990255732,True,False
Demand shock,WTI Crude,2,0.017664930678379875,-0.0013049572693155653,-0.09990163161681859,True,True
Demand shock,TotalEnergies,2,-0.03001265137683984,-0.059118750026783184,-0.07401807528918158,True,False
Demand shock,Shell,2,-0.028752995118181635,-0.07731992291020284,-0.12825523815142753,True,False
Demand shock,Oil Services ETF,2,-0.028046381333152404,-0.028604927160791827,-0.06591191380991368,True,False
Demand shock,Brent Crude,2,0.0014090574931693856,-0.019348648188583117,-0.061904211776109275,True,True
Demand shock,Energy ETF,2,-0.02068052929831582,-0.03307857451986196,-0.08445597657719323,True,False
Demand shock,BP,2,-0.018435325401945035,-0.05967479864577402,-0.10555193439376903,True,False
Demand shock,ExxonMobil,2,-0.00953405527781459,-0.021910348446204875,-0.037288574511029626,True,False
Demand shock,Chevron,2,0.006109665297264588,-0.03277176401494081,-0.1143610782377451,True,True
Demand shock,Utilities ETF,2,-0.003295480017592445,-0.012197643805759106,0.021000695238066414,True,True
Geopolitical shock,Natural Gas,6,-0.027585717951091382,-0.056092477387955884,-0.0791139262455685,True,False
Geopolitical shock,Brent Crude,6,-0.009922917715590488,0.006716489234700936,0.0045582949789840605,False,True
Geopolitical shock,WTI Crude,6,-0.010375561692106535,0.016672994132087875,0.014705216641680174,True,True
Geopolitical shock,Shell,6,-0.003235814278395366,-0.0030235694597989435,-0.014064534647427981,True,False
Geopolitical shock,ExxonMobil,6,-0.010150857571913882,-0.0059054183922017485,-0.011499676097434242,True,False
Geopolitical shock,Chevron,6,-0.007372667091740244,0.0017117441252674042,0.006187110859506258,False,True
Geopolitical shock,BP,6,-0.002089990682673256,-0.007438641025697986,-0.014692301309460273,True,False
Geopolitical shock,Energy ETF,6,-0.0052168372706210735,0.002767251506578916,0.0009259143875465411,False,True
Geopolitical shock,Oil Services ETF,6,-0.004651620320054654,-0.0013075551732903978,-0.002515856853999706,False,False
Geopolitical shock,TotalEnergies,6,-0.0058002760854136875,-0.016535442886874956,-0.020297921398017227,True,False
Geopolitical shock,Airlines ETF,6,0.0026959627309820857,0.0060138677953878355,-0.0004261764430318153,False,True
Geopolitical shock,Utilities ETF,6,-0.001087238280158979,-0.0035863037416173915,-0.0019981623953948167,True,False
Government intervention,Brent Crude,3,-0.004423874642125458,-0.007357551777912308,-0.02643147728745761,True,False
Government intervention,Oil Services ETF,3,0.018333875578720682,0.02386680768094292,0.043235482432629126,True,False
Government intervention,WTI Crude,3,0.009446748102599897,0.0009235661484464641,-0.019153923179868415,True,True
Government intervention,Utilities ETF,3,-0.006307369580586568,-0.006121736697806764,0.011380013532173586,True,True
Government intervention,ExxonMobil,3,0.012526217708482576,0.009152085588321405,0.018846469795014326,True,False
Government intervention,Natural Gas,3,-0.005000966216720748,-0.0011412156880986253,0.027797709353688933,True,True
Government intervention,TotalEnergies,3,0.011701926880121208,-0.008381005007898734,0.0008898244217748023,False,False
Government intervention,Energy ETF,3,0.01136754765738531,0.009209740027773416,0.021891844889974272,True,False
Government intervention,Chevron,3,0.010894315560910658,0.006573087715635991,0.02498341992516014,True,False
Government intervention,Airlines ETF,3,-0.009235454334307466,-0.015868791224111927,-0.026822410924321843,True,False
Government intervention,Shell,3,0.008034243962435276,-0.0010889764220676224,0.0022997908137458354,False,False
Government intervention,BP,3,0.006223826116829627,-0.0027707051103777656,0.0047620637684369456,False,False
Inventory announcement,Natural Gas,7,-0.0013976835225224685,-0.014721468900898886,-0.002902613206035306,True,False
Inventory announcement,WTI Crude,7,-0.010750199460128784,-0.020932855080947093,-0.0038669538427946737,False,False
Inventory announcement,Brent Crude,7,-0.011973581493331466,-0.016314974923246073,-0.002205652221950841,False,False
Inventory announcement,Shell,7,-0.0034149281203899673,-0.008129439375597134,-0.0002829802936756038,False,False
Inventory announcement,Oil Services ETF,7,-0.0032371063807570106,-0.00019389270777839647,0.014989503661734507,True,True
Inventory announcement,ExxonMobil,7,-0.0008139018425998053,-0.004042991286882553,0.005058606720938877,True,True
Inventory announcement,BP,7,-0.004143697298137968,-0.010362461701882961,0.0011863660566819073,False,True
Inventory announcement,TotalEnergies,7,-0.004011474071795822,-0.0110954551080511,-0.005467360014963031,True,False
Inventory announcement,Utilities ETF,7,-0.0019211165501362229,-0.011145681476071216,-0.007941265317414728,True,False
Inventory announcement,Chevron,7,0.0014188695263395962,0.0014536811411632084,0.008986740501186403,True,False
Inventory announcement,Energy ETF,7,-0.0007201615695603244,-0.002821937818054795,0.0057731062878064255,True,True
Inventory announcement,Airlines ETF,7,-0.0015788233182683076,-0.003991672635659281,0.0031214285846376455,True,True
Natural gas,WTI Crude,2,-0.02226096596913346,-0.0001455452288724457,0.037757809542849075,True,True
Natural gas,Brent Crude,2,-0.01668130250430483,-0.0006878577814664055,0.024486300059460786,True,True
Natural gas,Airlines ETF,2,0.033128459129989296,0.026512334224469247,0.028564860320442698,False,False
Natural gas,Natural Gas,2,-0.03301578698292351,0.02174839680109919,0.050379725176239454,True,True
Natural gas,Oil Services ETF,2,-0.0020439321500534957,0.006185771038982213,0.060623706514265685,True,True
Natural gas,Shell,2,0.012546237811521088,0.022597606579919993,0.06116707626583162,True,False
Natural gas,TotalEnergies,2,0.0018233658183708368,-0.0015891641449422012,0.045686084793967685,True,False
Natural gas,ExxonMobil,2,0.009523792736808034,0.02369710675419251,0.04976901022020619,True,False
Natural gas,BP,2,0.0004592020693504062,0.01141969208989424,0.049534017720777423,True,False
Natural gas,Energy ETF,2,0.0015528864509006812,0.018529347466590962,0.05240939181398763,True,False
Natural gas,Utilities ETF,2,-0.005143664067255638,-0.01723462544076898,-0.029214364755511257,True,False
Natural gas,Chevron,2,-0.003237349474133011,0.004144250180945885,0.031193447048368794,True,True
OPEC decision,Natural Gas,9,0.0011445831930349476,-0.0006835009992373939,0.03290162323468984,True,False
OPEC decision,WTI Crude,9,-0.008303040798737608,0.014156034737750277,-0.2520462159429992,True,False
OPEC decision,Brent Crude,9,-0.0077132315013989095,0.00441969676598956,0.01353274763538401,True,True
OPEC decision,Oil Services ETF,9,-0.00626106833667111,-0.025114617417065603,-0.01084537611673517,True,False
OPEC decision,TotalEnergies,9,-0.014797269413715694,-0.02224408119965493,-0.013436172936712053,False,False
OPEC decision,Shell,9,-0.013832721661624636,-0.02014013154810616,-0.010908592124226778,False,False
OPEC decision,ExxonMobil,9,-0.0022242714705292942,-0.0113550206735508,0.0002833951830650827,False,True
OPEC decision,BP,9,-0.012821430976721528,-0.021375415774627968,-0.010160451080463718,False,False
OPEC decision,Airlines ETF,9,0.0024236875319997297,-0.007170791769129998,0.0010089906077759528,False,False
OPEC decision,Chevron,9,-0.0004304312657444292,-0.005194624399920824,0.009128923834331726,True,True
OPEC decision,Energy ETF,9,-0.002559143550686772,-0.013428056205695796,0.00018365062141937707,False,True
OPEC decision,Utilities ETF,9,-0.0024843586509313287,-0.009229644901062102,-0.008904920868393253,True,False
Supply disruption,Natural Gas,5,-0.0017253752787816713,-0.010404138652280515,-0.028233211873817776,True,False
Supply disruption,WTI Crude,5,0.021417704538405746,0.007569887439445089,0.005806283620577557,False,False
Supply disruption,Brent Crude,5,0.019808670320677478,0.008947179703717589,0.011177624452199187,False,False
Supply disruption,Oil Services ETF,5,0.0053508181147089665,-0.004562297597491161,-0.006519387979370106,True,True
Supply disruption,BP,5,0.011483841002288896,-0.000795292701921757,-0.00191564240464559,False,True
Supply disruption,Shell,5,0.007305383100813167,-0.0026556848254596366,-0.004117419074419049,False,True
Supply disruption,Energy ETF,5,0.007876384172603768,0.002973569170745005,0.0010116775628868035,False,False
Supply disruption,TotalEnergies,5,0.005708872547739508,-0.00936900739661215,-0.0015466445850783606,False,True
Supply disruption,ExxonMobil,5,0.00829018334448095,0.004818253934547689,0.00425296904401482,False,False
Supply disruption,Chevron,5,0.008965804185371695,0.0015071616257073873,-0.0010947195263791398,False,True
Supply disruption,Airlines ETF,5,-0.004032472118044317,-0.004529382458250941,0.0003227080086344536,False,True
Supply disruption,Utilities ETF,5,0.004753639007446453,0.009017451933351173,0.004923340454807334,True,False
Trade policy,Natural Gas,1,0.06974951408842867,0.007889456937264838,-0.030773949514403487,False,True
Trade policy,Oil Services ETF,1,-0.0614506003367683,-0.11962352606778259,-0.13761250778006373,True,False
Trade policy,Utilities ETF,1,0.042985304797888535,0.030607578923727674,-0.015274364154934217,False,True
Trade policy,Airlines ETF,1,-0.037634070811857545,-0.03291299116677604,0.0004673748872635608,False,True
Trade policy,Energy ETF,1,-0.029227502552970686,-0.062169706140026704,-0.09687414258329685,True,False
Trade policy,BP,1,-0.023774458180039648,-0.08985859137415597,-0.14663476543244613,True,False
Trade policy,WTI Crude,1,-0.017097588740287772,-0.04700197472042511,-0.10236014363213786,True,False
Trade policy,Brent Crude,1,-0.014895176721057113,-0.0367624320355977,-0.09818522506395244,True,False
Trade policy,TotalEnergies,1,0.013411307239660442,-0.031820983710900475,-0.09000217000861621,True,True
Trade policy,Chevron,1,-0.01289252496589699,-0.051573490811303024,-0.09461929668710634,True,False
Trade policy,Shell,1,0.008714305375885134,-0.036481281746320815,-0.09325909544250821,True,True
Trade policy,ExxonMobil,1,-0.003301892506220927,-0.02601932102840321,-0.08028637791716209,True,False
Weather disruption,Natural Gas,5,0.010244345901682328,0.005191921819381351,-0.0017142953178475029,False,True
Weather disruption,Oil Services ETF,5,0.005025888193411587,0.01955100584072287,0.030285942288829304,True,False
Weather disruption,ExxonMobil,5,0.00611369972690703,0.02096925481026719,0.03919585599547004,True,False
Weather disruption,Energy ETF,5,0.0060582189911836835,0.017531221095056206,0.03137866224408488,True,False
Weather disruption,Chevron,5,0.0033316206491710077,0.022682944063676193,0.030761990984215816,True,False
Weather disruption,Brent Crude,5,0.005857451805450609,0.005106659202222618,0.01392148212316462,True,False
Weather disruption,Shell,5,0.0015856141391199952,0.018712033298162224,0.024951277399254977,True,False
Weather disruption,BP,5,0.00512578517584561,0.022257735054663396,0.02763868564988452,True,False
Weather disruption,TotalEnergies,5,0.006803647654880285,0.02666046924462633,0.032206846192207775,True,False
Weather disruption,WTI Crude,5,0.005815617555109132,0.01796908447693839,0.028883291276587,True,False
Weather disruption,Utilities ETF,5,-0.007722327985897115,-0.005176154511149456,-0.009460980259083328,True,False
Weather disruption,Airlines ETF,5,-0.0041739217566648,-0.0028788571376978877,-0.009439040737979054,True,False
